Longitude,Latitude,,,,
-94.7254372,39.27653567,,,,
-94.72535598,39.27643957,,,,
-94.72527412,39.2763438,,,,
-94.72519161,39.27624836,,,,
-94.72510845,39.27615326,,,,
-94.72502465,39.27605849,,,,
-94.72494021,39.27596407,,,,
-94.72485513,39.27586998,,,,
-94.72476942,39.27577625,,,,
-94.72468307,39.27568286,,,,
-94.7245961,39.27558983,,,,
-94.72450849,39.27549714,,,,
-94.72442026,39.27540482,,,,
-94.7243314,39.27531285,,,,
-94.72424193,39.27522124,,,,
-94.72415183,39.27513,,,,
-94.72406112,39.27503912,,,,
-94.72396979,39.27494861,,,,
-94.72387786,39.27485848,,,,
-94.72378531,39.27476871,,,,
-94.72369216,39.27467933,,,,
-94.7235984,39.27459032,,,,
-94.72350404,39.27450169,,,,
-94.72340909,39.27441345,,,,
-94.72331354,39.27432559,,,,
-94.72321739,39.27423812,,,,
-94.72312066,39.27415104,,,,
-94.72302333,39.27406435,,,,
-94.72292542,39.27397806,,,,
-94.72282693,39.27389217,,,,
-94.72272786,39.27380667,,,,
-94.72262821,39.27372158,,,,
-94.72252799,39.2736369,,,,
-94.72242719,39.27355262,,,,
-94.72232583,39.27346875,,,,
-94.7222239,39.27338529,,,,
-94.7221214,39.27330225,,,,
-94.72201835,39.27321962,,,,
-94.72191473,39.27313741,,,,
-94.72181057,39.27305562,,,,
-94.72170585,39.27297426,,,,
-94.72160058,39.27289332,,,,
-94.72149476,39.2728128,,,,
-94.7213884,39.27273272,,,,
-94.7212815,39.27265307,,,,
-94.72117407,39.27257385,,,,
-94.72106609,39.27249507,,,,
-94.72095759,39.27241673,,,,
-94.72084856,39.27233883,,,,
-94.720739,39.27226137,,,,
-94.72062892,39.27218436,,,,
-94.72051832,39.27210779,,,,
-94.7204072,39.27203167,,,,
-94.72029557,39.27195601,,,,
-94.72018343,39.27188079,,,,
-94.72007078,39.27180604,,,,
-94.71995762,39.27173173,,,,
-94.71984397,39.27165789,,,,
-94.71972982,39.27158451,,,,
-94.71961517,39.2715116,,,,
-94.71950003,39.27143914,,,,
-94.7193844,39.27136716,,,,
-94.71926828,39.27129565,,,,
-94.71915169,39.2712246,,,,
-94.71903461,39.27115403,,,,
-94.71891706,39.27108394,,,,
-94.71879903,39.27101432,,,,
-94.71868054,39.27094518,,,,
-94.71856157,39.27087652,,,,
-94.71844215,39.27080835,,,,
-94.71832227,39.27074066,,,,
-94.71820193,39.27067345,,,,
-94.71808113,39.27060674,,,,
-94.71795989,39.27054051,,,,
-94.7178382,39.27047478,,,,
-94.71771606,39.27040954,,,,
-94.71759349,39.2703448,,,,
-94.71747048,39.27028055,,,,
-94.71734704,39.2702168,,,,
-94.71722316,39.27015355,,,,
-94.71709887,39.27009081,,,,
-94.71697414,39.27002857,,,,
-94.716849,39.26996684,,,,
-94.71672344,39.26990561,,,,
-94.71659747,39.2698449,,,,
-94.71647109,39.26978469,,,,
-94.71634431,39.269725,,,,
-94.71621712,39.26966582,,,,
-94.71608953,39.26960716,,,,
-94.71596155,39.26954901,,,,
-94.71583318,39.26949139,,,,
-94.71570442,39.26943428,,,,
-94.71557527,39.2693777,,,,
-94.71544574,39.26932164,,,,
-94.71531583,39.26926611,,,,
-94.71518556,39.2692111,,,,
-94.7150549,39.26915662,,,,
-94.71492389,39.26910268,,,,
-94.71479251,39.26904926,,,,
-94.71466077,39.26899638,,,,
-94.71452867,39.26894403,,,,
-94.71439622,39.26889221,,,,
-94.71426342,39.26884094,,,,
-94.71413028,39.2687902,,,,
-94.7139968,39.26874,,,,
-94.71386297,39.26869035,,,,
-94.71372882,39.26864123,,,,
-94.71359433,39.26859266,,,,
-94.71345952,39.26854464,,,,
-94.71332438,39.26849716,,,,
-94.71318892,39.26845023,,,,
-94.71305315,39.26840385,,,,
-94.71291706,39.26835803,,,,
-94.71278067,39.26831275,,,,
-94.71264397,39.26826802,,,,
-94.71250697,39.26822385,,,,
-94.71236968,39.26818024,,,,
-94.71223209,39.26813718,,,,
-94.71209421,39.26809468,,,,
-94.71195605,39.26805274,,,,
-94.7118176,39.26801136,,,,
-94.71167888,39.26797054,,,,
-94.71153988,39.26793028,,,,
-94.71140061,39.26789059,,,,
-94.71126107,39.26785146,,,,
-94.71112127,39.2678129,,,,
-94.71098122,39.2677749,,,,
-94.7108409,39.26773747,,,,
-94.71070034,39.26770062,,,,
-94.71055953,39.26766433,,,,
-94.71041847,39.26762861,,,,
-94.71027717,39.26759346,,,,
-94.71013564,39.26755889,,,,
-94.70999388,39.26752489,,,,
-94.70985189,39.26749146,,,,
-94.70970967,39.26745861,,,,
-94.70956723,39.26742634,,,,
-94.70942458,39.26739464,,,,
-94.70928171,39.26736352,,,,
-94.70913864,39.26733298,,,,
-94.70899536,39.26730303,,,,
-94.70885188,39.26727365,,,,
-94.7087082,39.26724485,,,,
-94.70856433,39.26721664,,,,
-94.70842028,39.26718901,,,,
-94.70827603,39.26716196,,,,
-94.70813161,39.2671355,,,,
-94.70798701,39.26710962,,,,
-94.69417818,39.26463847,,,,
-94.69417186,39.26463734,,,,
-94.69416553,39.26463621,,,,
-94.6941592,39.26463507,,,,
-94.69415288,39.26463394,,,,
-94.69414655,39.2646328,,,,
-94.69414022,39.26463166,,,,
-94.6941339,39.26463053,,,,
-94.69412757,39.26462939,,,,
-94.69412125,39.26462825,,,,
-94.69411492,39.26462711,,,,
-94.6941086,39.26462597,,,,
