X (nmi), Y(nmi),xrot,yrot,long,lat,X (nmi), Y(nmi),xrot,yrot,long,lat,X (nmi), Y(nmi),xrot,yrot,long,lat,Longref,Latref,Rearth,rot
-1.443716052,-5.097367183,5.091066639,-1.465779221,-96.94995924,32.85455884,-0.017946856,-3.636185933,3.636074102,-0.033695017,-96.97881487,32.87841079,0.475320786,-3.044174007,3.046204071,0.462132003,-96.99051325,32.886669,,,,
-1.441350127,-5.095596735,5.089306454,-1.46340565,-96.94999414,32.85459837,-0.015239346,-3.633927193,3.63382711,-0.03097775,-96.97885943,32.87845605,0.476033054,-3.044299329,3.046332477,0.462843722,-96.99051071,32.88668085,,,,
-1.438909032,-5.093766835,5.087487143,-1.460956653,-96.95003023,32.85463916,-0.012605941,-3.631728748,3.63164009,-0.028334848,-96.9789028,32.87850007,0.476734935,-3.044387167,3.046423354,0.463545216,-96.99050891,32.88669253,,,,
-1.43638671,-5.091872528,5.085603778,-1.45842615,-96.95006758,32.85468131,-0.010060012,-3.629601607,3.629523995,-0.025779731,-96.97894477,32.87854262,0.477420306,-3.044438876,3.046478031,0.464230357,-96.99050782,32.88670394,,,,
-1.433777112,-5.089908867,5.083651438,-1.455808072,-96.9501063,32.85472491,-0.007614943,-3.627556787,3.627489784,-0.023325829,-96.97898511,32.87858349,0.478083043,-3.044455811,3.046497836,0.464893014,-96.99050743,32.88671498,,,,
-1.431077274,-5.087873347,5.081627629,-1.453099443,-96.95014643,32.85477002,-0.005280283,-3.625602144,3.625545271,-0.020982724,-96.97902367,32.87862252,0.478717986,-3.044438876,3.046483651,0.465528024,-96.99050771,32.88672556,,,,
-1.428296703,-5.085773337,5.079539682,-1.450309803,-96.95018784,32.85481649,-0.003050375,-3.623732998,3.6236858,-0.018744742,-96.97906055,32.87865979,0.479323803,-3.044387167,3.046434567,0.46613406,-96.99050868,32.88673565,,,,
-1.42544801,-5.083618665,5.077397368,-1.447451805,-96.95023033,32.85486409,-0.000915748,-3.621941519,3.621903584,-0.016602376,-96.9790959,32.87869548,0.479900123,-3.044299329,3.046349225,0.466710755,-96.99051038,32.88674526,,,,
-1.422543806,-5.081419159,5.075210461,-1.444538102,-96.9502737,32.85491262,0.001133069,-3.620219882,3.620190836,-0.014546123,-96.97912986,32.87872972,0.480446574,-3.044174006,3.046226271,0.467257744,-96.99051281,32.88675437,,,,
-1.419596701,-5.079184646,5.072988733,-1.441581347,-96.95031776,32.85496186,0.003105547,-3.618560257,3.618539769,-0.012566475,-96.97916261,32.8787627,0.480962785,-3.044009844,3.046064346,0.467774661,-96.99051603,32.88676298,,,,
-1.416619305,-5.076924952,5.070741955,-1.438594193,-96.95036232,32.85501162,0.005011159,-3.616954817,3.616942597,-0.010653928,-96.97919428,32.87879455,0.481448384,-3.043805487,3.045862094,0.46826114,-96.99052004,32.88677108,,,,
-1.413624231,-5.074649905,5.068479901,-1.435589293,-96.95040718,32.85506166,0.006859375,-3.615395733,3.615391533,-0.008798976,-96.97922505,32.87882545,0.481903,-3.04355958,3.045618158,0.468716817,-96.99052487,32.88677867,,,,
-1.410624087,-5.072369333,5.066212344,-1.4325793,-96.95045215,32.8551118,0.008659668,-3.613875179,3.61387879,-0.006992115,-96.97925505,32.87885554,0.482326262,-3.043270767,3.04533118,0.469141325,-96.99053057,32.88678574,,,,
-1.407631486,-5.070093062,5.063949055,-1.429576868,-96.95049704,32.8551618,0.010421507,-3.612385325,3.612396581,-0.005223839,-96.97928444,32.87888499,0.482717797,-3.042937693,3.044999806,0.469534299,-96.99053714,32.88679228,,,,
-1.404659037,-5.067830921,5.061699809,-1.42659465,-96.95054164,32.85521147,0.012154366,-3.610918345,3.610937119,-0.003484644,-96.97931339,32.87891396,0.483077234,-3.042559003,3.044622676,0.469895374,-96.99054462,32.8867983,,,,
-1.401719352,-5.065592736,5.059474377,-1.423645299,-96.95058578,32.8552606,0.013867715,-3.60946641,3.609492619,-0.001765022,-96.97934203,32.8789426,0.483404203,-3.042133343,3.044198436,0.470224182,-96.99055303,32.88680377,,,,
-1.398825041,-5.063388334,5.057282531,-1.420741468,-96.95062925,32.85530896,0.015571025,-3.608021693,3.608055292,-5.54706E-05,-96.97937054,32.87897107,0.48369833,-3.041659355,3.043725726,0.47052036,-96.99056241,32.88680871,,,,
-1.395988715,-5.061227544,5.055134045,-1.41789581,-96.95067186,32.85535636,0.017273769,-3.606576366,3.606617353,0.001653517,-96.97939906,32.87899954,0.483959246,-3.041135686,3.043203192,0.470783542,-96.99057277,32.88681309,,,,
-1.393222984,-5.059120192,5.053038691,-1.415120979,-96.95071341,32.85540257,0.018985418,-3.6051226,3.605171014,0.003371446,-96.97942774,32.87902815,0.484186578,-3.040560979,3.042629476,0.471013361,-96.99058415,32.88681692,,,,
-1.39054046,-5.057076106,5.051006242,-1.412429626,-96.95075372,32.8554474,0.020715442,-3.603652568,3.603708488,0.005107821,-96.97945674,32.87905707,0.484379955,-3.039933881,3.04200322,0.471209452,-96.99059657,32.88682018,,,,
-1.387953752,-5.055105112,5.04904647,-1.409834407,-96.95079259,32.85549062,0.022473315,-3.602158442,3.60222199,0.006872148,-96.97948623,32.87908645,0.484539006,-3.039253034,3.041323069,0.47137145,-96.99061005,32.88682288,,,,
-1.385475472,-5.053217039,5.047169148,-1.407347973,-96.95082982,32.85553203,0.024268506,-3.600632394,3.600703732,0.008673931,-96.97951634,32.87911646,0.484663359,-3.038517085,3.040587665,0.471498989,-96.99062464,32.88682501,,,,
-1.383118231,-5.051421713,5.045384048,-1.404982977,-96.95086522,32.85557142,0.026110487,-3.599066597,3.599145927,0.010522677,-96.97954723,32.87914726,0.484752642,-3.037724677,3.039795652,0.471591703,-96.99064035,32.88682655,,,,
-1.380894638,-5.049728962,5.043700943,-1.402752074,-96.9508986,32.85560858,0.028008731,-3.597453222,3.597540788,0.01242789,-96.97957906,32.87917899,0.484806484,-3.036874456,3.038945672,0.471649227,-96.9906572,32.88682751,,,,
-1.378817312,-5.048148618,5.042129611,-1.400667923,-96.95092976,32.85564329,0.029972701,-3.595784448,3.595880535,0.014399069,-96.97961199,32.87921182,0.484824514,-3.03596507,3.038036372,0.471671195,-96.99067524,32.88682787,,,,
-1.376893927,-5.04668666,5.040675997,-1.398738225,-96.95095859,32.85567543,0.032009334,-3.594054542,3.594159467,0.016443175,-96.97964612,32.87924586,0.484806484,-3.034997174,3.037068408,0.471657358,-96.99069443,32.88682764,,,,
-1.375112498,-5.045333728,5.039330793,-1.396950953,-96.95098527,32.8557052,0.034115357,-3.592266222,3.592380285,0.018556924,-96.97968141,32.87928107,0.484752642,-3.033979504,3.036050514,0.471607923,-96.99071462,32.88682682,,,,
-1.373456108,-5.04407662,5.038080871,-1.395289134,-96.95101006,32.85573288,0.036284955,-3.590424307,3.590547783,0.020734479,-96.97971775,32.87931734,0.484663358,-3.032922809,3.034993442,0.471523217,-96.99073558,32.88682541,,,,
