'Longitude','Latitude'
-94.76038142,39.18815575
-94.760382,39.1881534
-94.76038259,39.18815105
-94.76038317,39.1881487
-94.76038375,39.18814635
-94.76038433,39.188144
-94.76038491,39.18814165
-94.76038549,39.1881393
-94.76038607,39.18813695
-94.76038665,39.1881346
-94.76038722,39.18813225
-94.7603878,39.1881299
-94.76038838,39.18812755
-94.76038895,39.1881252
-94.76038953,39.18812285
-94.76039011,39.1881205
-94.76039068,39.18811815
-94.76039125,39.1881158
-94.76039183,39.18811345
-94.7603924,39.1881111
-94.76039297,39.18810875
-94.76039355,39.1881064
-94.76039412,39.18810405
-94.76039469,39.18810169
-94.76039526,39.18809934
-94.76039583,39.18809699
-94.7603964,39.18809464
-94.76039697,39.18809229
-94.76039753,39.18808994
-94.7603981,39.18808759
-94.76039867,39.18808524
-94.76039924,39.18808288
-94.7603998,39.18808053
-94.76040037,39.18807818
-94.76040093,39.18807583
-94.7604015,39.18807348
-94.76040206,39.18807113
-94.76040263,39.18806877
-94.76040319,39.18806642
-94.76040375,39.18806407
-94.76040431,39.18806172
-94.76040487,39.18805936
-94.76040543,39.18805701
-94.76040599,39.18805466
-94.76040655,39.18805231
-94.76040711,39.18804995
-94.76040767,39.1880476
-94.76040823,39.18804525
-94.76040879,39.1880429
-94.76040935,39.18804054
-94.7604099,39.18803819
-94.76041046,39.18803584
-94.76041101,39.18803348
-94.76041157,39.18803113
-94.76041212,39.18802878
-94.76041268,39.18802642
-94.76041323,39.18802407
-94.76041378,39.18802172
-94.76041434,39.18801936
-94.76041489,39.18801701
-94.76041544,39.18801466
-94.76041599,39.1880123
-94.76041654,39.18800995
-94.76041709,39.18800759
-94.76041764,39.18800524
-94.76041819,39.18800289
-94.76041874,39.18800053
-94.76041928,39.18799818
-94.76041983,39.18799582
-94.76042038,39.18799347
-94.76042092,39.18799111
-94.76042147,39.18798876
-94.76042201,39.1879864
-94.76042256,39.18798405
-94.7604231,39.18798169
-94.76042364,39.18797934
-94.76042419,39.18797699
-94.76042473,39.18797463
-94.76042527,39.18797228
-94.76042581,39.18796992
-94.76042635,39.18796756
-94.76042689,39.18796521
-94.76042743,39.18796285
-94.76042797,39.1879605
-94.76042851,39.18795814
-94.76042905,39.18795579
-94.76042959,39.18795343
-94.76043012,39.18795108
-94.76043066,39.18794872
-94.7604312,39.18794636
-94.76043173,39.18794401
-94.76043227,39.18794165
-94.7604328,39.1879393
-94.76043333,39.18793694
-94.76043387,39.18793458
-94.7604344,39.18793223
-94.76043493,39.18792987
-94.76043546,39.18792751
-94.76043599,39.18792516
-94.76043653,39.1879228
-95.30763252,36.75749244
-95.33803666,36.62245116
