X (nmi), Y(nmi)
-0.679908781323854, -4.48025648199637
-0.677908909194636, -4.47849517010983
-0.675908436188747, -4.47673613559945
-0.673906077140132, -4.47497780848031
-0.671900547479897, -4.47321861929157
-0.669890561893362, -4.47145699791765
-0.667874834762336, -4.46969137397806
-0.665852081667486, -4.4679201781424
-0.663821017591188, -4.46614184055573
-0.661780357515816, -4.46435479136309
-0.659728816423745, -4.46255746070953
-0.65766510929735, -4.46074827874009
-0.655587951119005, -4.45892567559983
-0.653496056871085, -4.45708808143379
-0.651388141535965, -4.45523392638702
-0.649262920096019, -4.45336164060457
-0.647119107533621, -4.45146965423148
-0.644955418831148, -4.44955639741281
-0.642770568970972, -4.44762030029359
-0.640563272935469, -4.44565979301888
-0.638332253729753, -4.44367331288628
-0.636077044762811, -4.44166016604341
-0.633800537823341, -4.43962323801709
-0.631506450962127, -4.43756629731743
-0.629198502915897, -4.43549311307015
-0.626880411565462, -4.43340745363332
-0.624555894438914, -4.43131308704502
-0.622228670450535, -4.4292137825917
-0.619902457825088, -4.42711330893989
-0.617580974787339, -4.42501543475614
-0.615267939562051, -4.42292392870699
-0.612967070373988, -4.42084255945899
-0.610682085447914, -4.41877509567867
-0.608416703008593, -4.41672530603257
-0.606174641280789, -4.41469695918724
-0.603959618489265, -4.41269382380922
-0.601775352858787, -4.41071966856505
-0.599625562614117, -4.40877826212127
-0.59751396598002, -4.40687337314443
-0.595444281181261, -4.40500877030106
-0.593420233595159, -4.40318822868523
-0.59144390663167, -4.40141391020687
-0.58951092156705, -4.39968161913774
-0.587615271910665, -4.39798555933023
-0.585750951731863, -4.39631993513733
-0.58391195439624, -4.39467895028258
-0.582092273014476, -4.39305680826362
-0.580285901783445, -4.39144771354652
-0.578486834348478, -4.38984587010493
-0.576689064354912, -4.38824548191249
-0.57488658544808, -4.38664075294284
-0.573073391273316, -4.38502588716964
-0.571243475475954, -4.38339508856652
-0.569390831701328, -4.38174256110714
-0.567509453594772, -4.38006250876513
-0.565593334801621, -4.37834913551414
-0.563636468967208, -4.37659664532782
-0.561632849736867, -4.3747992421798
-0.559576470755932, -4.37295113004375
-0.557461325669738, -4.37104651289329
-0.555281416042591, -4.36907960185464
-0.553033079749256, -4.36704684267212
-0.550722114096318, -4.36495372260517
