X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),Dep_SL8(SEL),Dep_SL9(SEL),App(SEL)
3.68,-6,76.317,76.282,76.216,76.204,76.092,75.76,75.099,74.788,74.732,46.243
3.76,-6,76.694,76.67,76.618,76.636,76.56,76.262,75.649,75.364,75.328,46.153
3.84,-6,77.076,77.064,77.027,77.078,77.044,76.791,76.228,75.968,75.952,46.063
3.92,-6,77.461,77.463,77.444,77.533,77.552,77.339,76.828,76.598,76.603,45.973
4,-6,77.848,77.867,77.868,78.006,78.074,77.907,77.452,77.255,77.285,45.882
4.08,-6,78.237,78.279,78.306,78.489,78.611,78.492,78.101,77.942,77.998,45.791
4.16,-6,78.634,78.696,78.748,78.979,79.161,79.097,78.775,78.66,78.744,45.7
4.24,-6,79.028,79.112,79.19,79.475,79.724,79.721,79.476,79.411,79.525,45.608
4.32,-6,79.416,79.524,79.63,79.973,80.297,80.363,80.206,80.198,80.344,45.516
4.4,-6,79.776,79.928,80.065,80.471,80.879,81.02,80.957,80.986,81.154,45.423
4.48,-6,80.093,80.284,80.483,80.963,81.463,81.69,81.684,81.784,81.989,45.331
4.56,-6,80.384,80.605,80.84,81.436,82.045,82.32,82.435,82.619,82.866,45.238
4.64,-6,80.651,80.902,81.173,81.837,82.582,82.941,83.206,83.491,83.786,45.145
4.72,-6,80.889,81.17,81.476,82.206,83.038,83.55,83.991,84.395,84.748,45.051
4.8,-6,81.098,81.406,81.743,82.521,83.426,84.069,84.773,85.32,85.722,44.958
4.88,-6,81.275,81.606,81.972,82.772,83.761,84.5,85.507,86.189,86.668,44.864
4.96,-6,81.418,81.769,82.159,82.977,84.038,84.861,86.05,86.955,87.571,44.77
5.04,-6,81.528,81.896,82.302,83.133,84.252,85.14,86.486,87.552,88.248,44.677
5.12,-6,81.606,81.985,82.394,83.243,84.402,85.334,86.797,87.983,88.749,44.583
5.2,-6,81.652,82.038,82.445,83.307,84.491,85.448,86.979,88.237,89.047,44.489
5.28,-6,81.667,82.056,82.463,83.329,84.523,85.489,87.044,88.331,89.155,44.394
5.36,-6,81.651,82.04,82.448,83.31,84.5,85.461,87.003,88.28,89.094,44.3
5.44,-6,81.606,81.99,82.399,83.249,84.421,85.364,86.851,88.077,88.855,44.206
5.52,-6,81.529,81.904,82.314,83.145,84.284,85.19,86.577,87.703,88.419,44.112
5.6,-6,81.422,81.783,82.177,82.996,84.085,84.934,86.18,87.159,87.802,44.018
5.68,-6,81.282,81.625,81.999,82.801,83.824,84.596,85.676,86.462,86.984,43.923
5.76,-6,81.109,81.431,81.78,82.56,83.505,84.187,85.014,85.608,86.05,43.829
5.84,-6,80.906,81.203,81.522,82.263,83.136,83.72,84.241,84.696,85.091,43.735
5.92,-6,80.672,80.943,81.228,81.904,82.721,83.128,83.459,83.783,84.12,43.641
6,-6,80.412,80.654,80.904,81.512,82.21,82.514,82.685,82.899,83.188,43.547
-6,-5.92,56.404,56.498,56.58,56.704,56.854,57.014,57.092,57.232,57.356,51.704
-5.92,-5.92,56.504,56.598,56.679,56.8,56.948,57.106,57.181,57.32,57.443,51.657
-5.84,-5.92,56.606,56.698,56.778,56.897,57.042,57.197,57.27,57.408,57.531,51.61
-5.76,-5.92,56.707,56.798,56.877,56.994,57.136,57.289,57.36,57.496,57.619,51.563
-5.68,-5.92,56.809,56.899,56.977,57.091,57.23,57.382,57.45,57.585,57.707,51.516
-5.6,-5.92,56.912,57.001,57.077,57.189,57.325,57.474,57.54,57.674,57.796,51.47
-5.52,-5.92,57.015,57.102,57.177,57.287,57.42,57.567,57.63,57.763,57.884,51.425
-5.44,-5.92,57.118,57.204,57.278,57.385,57.515,57.66,57.72,57.852,57.973,51.38
-5.36,-5.92,57.221,57.307,57.379,57.483,57.611,57.753,57.811,57.941,58.061,51.335
-5.28,-5.92,57.325,57.41,57.48,57.582,57.707,57.846,57.902,58.031,58.15,51.291
-5.2,-5.92,57.43,57.513,57.582,57.682,57.803,57.94,57.992,58.12,58.239,51.248
-5.12,-5.92,57.535,57.617,57.684,57.781,57.899,58.034,58.083,58.21,58.328,51.205
-5.04,-5.92,57.64,57.721,57.787,57.881,57.996,58.128,58.175,58.3,58.417,51.163
-4.96,-5.92,57.746,57.825,57.89,57.981,58.093,58.222,58.266,58.39,58.506,51.122
-4.88,-5.92,57.852,57.93,57.993,58.081,58.19,58.316,58.357,58.48,58.596,51.081
-4.8,-5.92,57.958,58.035,58.097,58.182,58.287,58.411,58.449,58.57,58.685,51.041
-4.72,-5.92,58.065,58.14,58.201,58.283,58.385,58.506,58.54,58.66,58.774,51.002
-4.64,-5.92,58.172,58.246,58.305,58.384,58.482,58.601,58.632,58.75,58.864,50.963
-4.56,-5.92,58.28,58.353,58.409,58.486,58.58,58.696,58.724,58.84,58.953,50.925
-4.48,-5.92,58.388,58.459,58.514,58.588,58.678,58.791,58.816,58.931,59.042,50.895
-4.4,-5.92,58.496,58.566,58.619,58.69,58.777,58.886,58.908,59.021,59.132,50.866
-4.32,-5.92,58.605,58.673,58.725,58.792,58.875,58.981,59,59.111,59.221,50.837
-4.24,-5.92,58.714,58.781,58.831,58.895,58.974,59.077,59.091,59.201,59.31,50.812
-4.16,-5.92,58.823,58.889,58.937,58.997,59.073,59.172,59.183,59.291,59.399,50.792
-4.08,-5.92,58.933,58.997,59.043,59.101,59.172,59.268,59.275,59.381,59.488,50.772
-4,-5.92,59.043,59.106,59.15,59.204,59.271,59.364,59.367,59.471,59.577,50.752
-3.92,-5.92,59.154,59.215,59.257,59.307,59.37,59.46,59.459,59.561,59.666,50.732
