X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-2.24,-5.92,49.158,49.193,49.279,49.376,43.364
-2.16,-5.92,49.265,49.298,49.383,49.478,43.32
-2.08,-5.92,49.37,49.402,49.486,49.578,43.274
-2,-5.92,49.474,49.504,49.587,49.677,43.228
-1.92,-5.92,49.577,49.605,49.687,49.775,43.181
-1.84,-5.92,49.678,49.704,49.785,49.871,43.132
-1.76,-5.92,49.777,49.802,49.882,49.966,43.094
-1.68,-5.92,49.875,49.898,49.977,50.059,43.055
-1.6,-5.92,49.972,49.992,50.071,50.15,43.015
-1.52,-5.92,50.067,50.085,50.163,50.24,42.974
-1.44,-5.92,50.16,50.176,50.253,50.328,42.923
-1.36,-5.92,50.251,50.266,50.342,50.415,42.864
-1.28,-5.92,50.341,50.354,50.429,50.499,42.803
-1.2,-5.92,50.429,50.44,50.514,50.582,42.74
-1.12,-5.92,50.515,50.524,50.597,50.663,42.675
-1.04,-5.92,50.599,50.606,50.679,50.742,42.607
-0.96,-5.92,50.681,50.686,50.758,50.82,42.538
-0.88,-5.92,50.761,50.764,50.836,50.895,42.467
-0.8,-5.92,50.839,50.841,50.911,50.969,42.393
-0.72,-5.92,50.916,50.915,50.985,51.04,42.317
-0.64,-5.92,50.99,50.987,51.056,51.11,42.239
-0.56,-5.92,51.062,51.057,51.126,51.177,42.159
-0.48,-5.92,51.131,51.125,51.193,51.242,42.076
-0.4,-5.92,51.199,51.191,51.258,51.306,41.991
-0.32,-5.92,51.264,51.254,51.322,51.367,41.903
-0.24,-5.92,51.327,51.315,51.382,51.426,41.813
-0.16,-5.92,51.388,51.374,51.441,51.483,41.721
-0.08,-5.92,51.447,51.431,51.497,51.537,41.625
0,-5.92,51.503,51.486,51.552,51.59,41.528
0.08,-5.92,51.444,51.42,51.483,51.525,41.442
0.16,-5.92,51.462,51.433,51.494,51.537,41.356
0.24,-5.92,51.488,51.456,51.516,51.558,41.384
0.32,-5.92,51.516,51.483,51.542,51.583,41.295
0.4,-5.92,51.546,51.51,51.568,51.608,41.204
0.48,-5.92,51.576,51.536,51.594,51.633,41.112
0.56,-5.92,51.603,51.562,51.619,51.656,41.017
0.64,-5.92,51.64,51.589,51.642,51.678,40.921
0.72,-5.92,51.674,51.622,51.671,51.698,40.823
0.8,-5.92,51.708,51.652,51.7,51.719,40.723
0.88,-5.92,51.74,51.681,51.727,51.743,40.622
0.96,-5.92,51.771,51.709,51.753,51.765,40.519
1.04,-5.92,51.805,51.736,51.778,51.785,40.414
1.12,-5.92,51.838,51.765,51.801,51.803,40.308
1.2,-5.92,51.865,51.793,51.828,51.821,40.201
1.28,-5.92,51.871,51.817,51.852,51.837,40.092
1.36,-5.92,51.874,51.819,51.874,51.855,39.982
1.44,-5.92,51.875,51.818,51.875,51.872,39.871
1.52,-5.92,51.874,51.815,51.873,51.886,39.759
1.6,-5.92,51.872,51.811,51.869,51.884,39.645
1.68,-5.92,51.859,51.805,51.863,51.876,39.53
1.76,-5.92,51.79,51.797,51.855,51.865,39.414
1.84,-5.92,51.758,51.789,51.847,51.855,39.297
1.92,-5.92,51.753,51.781,51.839,51.844,39.179
2,-5.92,51.746,51.772,51.829,51.831,39.06
2.08,-5.92,51.737,51.761,51.817,51.817,38.941
2.16,-5.92,51.728,51.749,51.804,51.801,38.82
2.24,-5.92,51.717,51.736,51.789,51.783,38.699
2.32,-5.92,51.713,51.712,51.773,51.762,38.577
2.4,-5.92,51.721,51.701,51.695,51.738,38.454
2.48,-5.92,51.729,51.705,51.637,51.713,38.33
2.56,-5.92,51.737,51.71,51.624,51.688,38.206
2.64,-5.92,51.745,51.714,51.624,51.639,38.082
2.72,-5.92,51.753,51.719,51.625,51.557,37.956
2.8,-5.92,51.761,51.724,51.627,51.516,37.831
2.88,-5.92,51.769,51.729,51.628,51.51,37.705
2.96,-5.92,51.777,51.734,51.63,51.504,37.578
3.04,-5.92,51.786,51.739,51.632,51.498,37.452
3.12,-5.92,51.794,51.745,51.634,51.493,37.324
3.2,-5.92,51.803,51.751,51.637,51.488,37.197
3.28,-5.92,51.812,51.757,51.64,51.484,37.069
3.36,-5.92,51.82,51.763,51.644,51.481,36.941
3.44,-5.92,51.829,51.77,51.648,51.478,36.813
3.52,-5.92,51.838,51.776,51.652,51.475,36.685
3.6,-5.92,51.837,51.783,51.657,51.473,36.557
3.68,-5.92,51.821,51.79,51.662,51.472,36.428
3.76,-5.92,51.805,51.797,51.667,51.471,36.299
3.84,-5.92,51.789,51.786,51.672,51.471,36.171
3.92,-5.92,51.773,51.768,51.678,51.472,36.042
4,-5.92,51.757,51.751,51.684,51.473,35.914
4.08,-5.92,51.742,51.733,51.669,51.474,35.785
4.16,-5.92,51.727,51.716,51.651,51.476,35.656
4.24,-5.92,51.712,51.699,51.633,51.478,35.528
4.32,-5.92,51.698,51.682,51.615,51.481,35.4
4.4,-5.92,51.684,51.666,51.598,51.484,35.271
4.48,-5.92,51.671,51.65,51.581,51.487,35.143
4.56,-5.92,51.658,51.635,51.564,51.491,35.015
4.64,-5.92,51.645,51.62,51.548,51.473,34.887
4.72,-5.92,51.633,51.605,51.532,51.454,34.76
4.8,-5.92,51.621,51.591,51.517,51.436,34.633
4.88,-5.92,51.609,51.578,51.502,51.417,34.505
4.96,-5.92,51.599,51.565,51.487,51.4,34.379
5.04,-5.92,51.588,51.552,51.474,51.382,34.252
5.12,-5.92,51.578,51.54,51.46,51.365,34.126
5.2,-5.92,51.568,51.528,51.447,51.349,34
5.28,-5.92,51.559,51.517,51.435,51.334,33.874
5.36,-5.92,51.551,51.507,51.423,51.318,33.748
5.44,-5.92,51.542,51.497,51.412,51.304,33.623
5.52,-5.92,51.541,51.487,51.401,51.29,33.498
5.6,-5.92,51.547,51.478,51.391,51.276,33.374
5.68,-5.92,51.553,51.47,51.382,51.263,33.25
5.76,-5.92,51.56,51.472,51.373,51.251,33.126
5.84,-5.92,51.567,51.477,51.364,51.239,33.003
5.92,-5.92,51.575,51.484,51.356,51.228,32.88
6,-5.92,51.583,51.491,51.36,51.218,32.758
-6,-5.84,43.518,43.604,43.719,43.88,44.34
-5.92,-5.84,43.645,43.73,43.845,44.005,44.347
-5.84,-5.84,43.772,43.856,43.971,44.13,44.354
-5.76,-5.84,43.899,43.983,44.097,44.255,44.361
-5.68,-5.84,44.027,44.11,44.224,44.381,44.369
-5.6,-5.84,44.154,44.237,44.35,44.507,44.376
-5.52,-5.84,44.282,44.364,44.477,44.633,44.382
-5.44,-5.84,44.41,44.491,44.604,44.759,44.388
-5.36,-5.84,44.538,44.619,44.731,44.885,44.394
-5.28,-5.84,44.666,44.746,44.858,45.011,44.399
-5.2,-5.84,44.795,44.874,44.985,45.137,44.403
-5.12,-5.84,44.923,45.001,45.113,45.263,44.406
-5.04,-5.84,45.051,45.129,45.24,45.39,44.418
-4.96,-5.84,45.18,45.257,45.367,45.516,44.434
-4.88,-5.84,45.308,45.385,45.494,45.642,44.436
-4.8,-5.84,45.437,45.512,45.621,45.768,44.426
-4.72,-5.84,45.565,45.64,45.749,45.894,44.415
-4.64,-5.84,45.694,45.767,45.876,46.02,44.403
-4.56,-5.84,45.822,45.895,46.002,46.146,44.389
-4.48,-5.84,45.95,46.022,46.129,46.272,44.375
-4.4,-5.84,46.078,46.149,46.256,46.397,44.359
-4.32,-5.84,46.206,46.276,46.382,46.522,44.343
-4.24,-5.84,46.334,46.403,46.508,46.647,44.325
-4.16,-5.84,46.461,46.529,46.634,46.771,44.306
-4.08,-5.84,46.588,46.655,46.759,46.896,44.287
-4,-5.84,46.715,46.781,46.884,47.019,44.266
-3.92,-5.84,46.841,46.906,47.009,47.143,44.244
-3.84,-5.84,46.967,47.031,47.133,47.266,44.222
-3.76,-5.84,47.093,47.155,47.257,47.388,44.198
-3.68,-5.84,47.218,47.279,47.38,47.51,44.173
-3.6,-5.84,47.342,47.403,47.503,47.631,44.148
-3.52,-5.84,47.467,47.526,47.625,47.752,44.122
-3.44,-5.84,47.59,47.648,47.747,47.872,44.094
-3.36,-5.84,47.713,47.77,47.868,47.991,44.066
-3.28,-5.84,47.835,47.891,47.988,48.11,44.038
-3.2,-5.84,47.957,48.011,48.107,48.227,44.008
-3.12,-5.84,48.078,48.13,48.226,48.344,43.98
-3.04,-5.84,48.198,48.249,48.344,48.46,43.95
-2.96,-5.84,48.317,48.367,48.461,48.576,43.918
-2.88,-5.84,48.435,48.484,48.577,48.69,43.886
-2.8,-5.84,48.553,48.6,48.692,48.803,43.852
-2.72,-5.84,48.669,48.714,48.806,48.915,43.816
-2.64,-5.84,48.785,48.828,48.919,49.026,43.78
-2.56,-5.84,48.899,48.941,49.031,49.136,43.742
-2.48,-5.84,49.012,49.053,49.142,49.245,43.702
-2.4,-5.84,49.124,49.163,49.251,49.353,43.662
-2.32,-5.84,49.235,49.273,49.36,49.459,43.62
-2.24,-5.84,49.345,49.381,49.467,49.564,43.577
-2.16,-5.84,49.454,49.487,49.572,49.668,43.532
-2.08,-5.84,49.561,49.593,49.677,49.77,43.487
-2,-5.84,49.666,49.697,49.78,49.871,43.44
-1.92,-5.84,49.771,49.799,49.881,49.97,43.392
-1.84,-5.84,49.874,49.9,49.982,50.068,43.343
-1.76,-5.84,49.975,50,50.08,50.164,43.304
-1.68,-5.84,50.075,50.098,50.177,50.259,43.265
-1.6,-5.84,50.173,50.194,50.272,50.352,43.225
-1.52,-5.84,50.269,50.288,50.366,50.444,43.184
-1.44,-5.84,50.364,50.381,50.458,50.533,43.133
-1.36,-5.84,50.457,50.472,50.548,50.621,43.073
-1.28,-5.84,50.548,50.561,50.637,50.707,43.012
-1.2,-5.84,50.638,50.649,50.723,50.792,42.948
-1.12,-5.84,50.725,50.734,50.808,50.874,42.883
-1.04,-5.84,50.811,50.818,50.891,50.955,42.815
-0.96,-5.84,50.894,50.9,50.972,51.033,42.745
-0.88,-5.84,50.976,50.979,51.05,51.11,42.673
-0.8,-5.84,51.056,51.057,51.127,51.184,42.599
-0.72,-5.84,51.133,51.132,51.202,51.257,42.522
-0.64,-5.84,51.208,51.206,51.275,51.328,42.444
-0.56,-5.84,51.281,51.277,51.345,51.396,42.363
-0.48,-5.84,51.352,51.346,51.414,51.463,42.279
-0.4,-5.84,51.421,51.413,51.48,51.527,42.193
-0.32,-5.84,51.487,51.477,51.544,51.589,42.105
-0.24,-5.84,51.552,51.539,51.606,51.649,42.014
-0.16,-5.84,51.613,51.599,51.666,51.707,41.92
-0.08,-5.84,51.673,51.657,51.723,51.762,41.824
0,-5.84,51.73,51.712,51.778,51.816,41.726
0.08,-5.84,51.671,51.647,51.709,51.751,41.639
0.16,-5.84,51.689,51.66,51.72,51.763,41.552
0.24,-5.84,51.716,51.683,51.743,51.784,41.58
0.32,-5.84,51.745,51.711,51.769,51.809,41.491
0.4,-5.84,51.776,51.738,51.796,51.835,41.399
0.48,-5.84,51.805,51.765,51.822,51.86,41.305
0.56,-5.84,51.833,51.791,51.848,51.884,41.21
0.64,-5.84,51.87,51.818,51.871,51.906,41.113
0.72,-5.84,51.905,51.851,51.9,51.926,41.013
0.8,-5.84,51.938,51.881,51.929,51.947,40.913
0.88,-5.84,51.97,51.91,51.956,51.971,40.81
0.96,-5.84,52.002,51.938,51.982,51.993,40.706
1.04,-5.84,52.036,51.965,52.007,52.013,40.601
1.12,-5.84,52.068,51.995,52.03,52.031,40.494
1.2,-5.84,52.096,52.023,52.056,52.048,40.385
1.28,-5.84,52.101,52.046,52.081,52.064,40.275
1.36,-5.84,52.104,52.047,52.103,52.082,40.164
1.44,-5.84,52.104,52.046,52.104,52.099,40.052
1.52,-5.84,52.103,52.043,52.101,52.113,39.938
1.6,-5.84,52.1,52.038,52.096,52.11,39.823
1.68,-5.84,52.087,52.031,52.09,52.101,39.707
